CustomerID,CustomerName,City,State,CustomerType,Email
1,"Choudhury, Bakshi and Maharaj",Rajahmundry,Chhattisgarh,Corporate,chahalpahal@example.org
2,Chander and Sons,Dibrugarh,Punjab,Retail,issaconi@example.org
3,Mall-Ahuja,Bhusawal,Karnataka,Retail,nachiket35@example.org
4,Rai Inc,Hapur,Punjab,Corporate,caleb78@example.org
5,Brar-Memon,Gangtok,Gujarat,Wholesale,bathvedant@example.com
6,Kaul Inc,Alwar,Manipur,Retail,nicholas55@example.org
7,"Loke, Bora and Garg",Ujjain,Manipur,Retail,omadan@example.net
8,"Kanda, Nair and Bhalla",Patna,Uttar Pradesh,Retail,nandini41@example.org
9,"Murty, Kala and Tata",Berhampore,Chhattisgarh,Corporate,liam38@example.net
10,Sangha-Rastogi,Muzaffarnagar,Chhattisgarh,Retail,wchand@example.org
11,Dua Ltd,Bhusawal,Punjab,Corporate,rajanlakshmi@example.net
12,Wadhwa-Krishnamurthy,Raipur,Sikkim,Corporate,harini14@example.com
13,Setty Inc,Orai,Tripura,Corporate,yashicacherian@example.net
14,Tripathi-Issac,Dindigul,Tripura,Retail,aadinaik@example.com
15,Choudhury LLC,Mathura,Arunachal Pradesh,Corporate,farhanchada@example.net
16,Biswas-Walia,Warangal,Sikkim,Wholesale,qgandhi@example.net
17,"Sampath, Kakar and Zacharia",Bijapur,Madhya Pradesh,Retail,raksha87@example.org
18,Kar Inc,Jaipur,Odisha,Retail,thomasamble@example.org
19,"Bhargava, Karnik and Bir",Bathinda,Assam,Retail,aryasunder@example.org
20,"Deo, Solanki and Kibe",Vellore,Gujarat,Retail,chatterjeeraagini@example.com
21,Roy-Sibal,Navi Mumbai,Arunachal Pradesh,Retail,znori@example.org
22,Handa and Sons,Kolhapur,Maharashtra,Corporate,aryashere@example.org
23,Savant PLC,Dhanbad,Rajasthan,Corporate,chanderwarjas@example.org
24,Sunder-Srivastava,Rewa,Arunachal Pradesh,Retail,ladliagate@example.com
25,Sha-Mangal,Miryalaguda,Sikkim,Corporate,mdubey@example.com
26,Bhardwaj PLC,Satara,Arunachal Pradesh,Retail,soodyadavi@example.net
27,Bhandari PLC,Gaya,Assam,Corporate,keernetra@example.org
28,"Koshy, Baral and Bumb",Ballia,Odisha,Corporate,advika35@example.org
29,Randhawa-Deep,Berhampore,Karnataka,Corporate,andratara@example.net
30,"Chaudhry, Borah and Yogi",Guna,Himachal Pradesh,Corporate,ikshitabiswas@example.org
31,Mane-Dugar,Tinsukia,Tamil Nadu,Wholesale,abhiram84@example.net
32,Desai LLC,Aligarh,Telangana,Retail,anitamanda@example.net
33,Oza and Sons,Dibrugarh,Meghalaya,Wholesale,charan16@example.com
34,Aggarwal LLC,Firozabad,Goa,Corporate,jsane@example.org
35,Borra Ltd,Bongaigaon,Arunachal Pradesh,Wholesale,manbir62@example.org
36,Patla-Baral,Bhagalpur,Sikkim,Retail,harshilpandya@example.net
37,Dubey-Khalsa,Belgaum,Maharashtra,Retail,golagaurangi@example.com
38,"Kothari, Loke and Dutta",Eluru,West Bengal,Corporate,singhaltristan@example.org
39,Palla-Mody,Rajahmundry,Andhra Pradesh,Wholesale,mohininarasimhan@example.com
40,Mallick LLC,Jorhat,Karnataka,Wholesale,daliaadvika@example.org
41,"Lanka, Barad and Chopra",Hapur,Telangana,Wholesale,rajata98@example.org
42,Gupta-Kumar,Junagadh,Andhra Pradesh,Retail,janujasankar@example.org
43,"Narayanan, Murthy and Dash",Guna,Jharkhand,Retail,znarain@example.net
44,Datta-Handa,Nadiad,Sikkim,Wholesale,charviravi@example.net
45,Modi LLC,Chinsurah,Uttar Pradesh,Retail,udyati77@example.net
46,Vaidya Group,Guwahati,Jharkhand,Retail,girik34@example.org
47,Din Inc,Sambalpur,Meghalaya,Wholesale,shahoeshi@example.net
48,"Hayer, Rajagopalan and Talwar",Latur,Chhattisgarh,Retail,chhabrapavani@example.org
49,Vasa Group,Proddatur,Haryana,Wholesale,shankiaan@example.com
