InventoryID,WarehouseID,ProductID,CurrentStock,ReorderLevel,SafetyStock,LastRestocked
1,1,1,654,78,39,2025-01-07
2,1,2,759,120,60,2025-03-04
3,1,3,228,85,42,2025-01-27
4,1,4,692,189,94,2025-01-23
5,1,5,604,158,79,2025-01-09
6,1,6,30,73,36,2025-02-25
7,1,7,238,179,89,2025-06-04
8,1,8,27,193,96,2025-02-20
9,1,9,733,189,94,2025-04-18
10,1,10,225,164,82,2025-05-31
11,1,11,284,51,25,2025-02-10
12,1,12,714,158,79,2025-03-29
13,1,13,284,89,44,2025-02-25
14,1,14,980,136,68,2025-01-27
15,1,15,94,147,73,2025-01-25
16,1,16,367,138,69,2025-06-04
17,1,17,270,61,30,2025-04-28
18,1,18,549,81,40,2025-04-07
19,1,19,80,191,95,2025-03-17
20,1,20,849,142,71,2025-05-28
21,1,21,196,67,33,2025-01-12
22,1,22,677,108,54,2025-03-16
23,1,23,81,109,54,2025-01-26
24,1,24,389,121,60,2025-04-27
25,1,25,650,143,71,2025-02-11
26,1,26,379,140,70,2025-02-23
27,1,27,686,118,59,2025-06-29
28,1,28,959,68,34,2025-06-05
29,1,29,650,93,46,2025-05-17
30,1,30,746,112,56,2025-02-11
31,1,31,473,147,73,2025-03-11
32,1,32,947,192,96,2025-02-26
33,1,33,701,133,66,2025-01-15
34,1,34,234,58,29,2025-03-22
35,1,35,410,118,59,2025-01-17
36,1,36,216,195,97,2025-03-22
37,1,37,217,177,88,2025-04-12
38,1,38,905,167,83,2025-02-06
39,1,39,271,85,42,2025-03-05
40,1,40,762,193,96,2025-05-18
41,1,41,269,199,99,2025-04-20
42,1,42,919,199,99,2025-04-13
43,1,43,370,106,53,2025-02-05
44,1,44,521,176,88,2025-01-24
45,1,45,773,62,31,2025-01-29
46,1,46,156,90,45,2025-06-24
47,1,47,432,66,33,2025-04-09
48,1,48,390,169,84,2025-05-16
49,1,49,257,191,95,2025-01-03
50,1,50,696,79,39,2025-06-24
51,1,51,906,187,93,2025-03-10
52,1,52,787,137,68,2025-01-29
53,1,53,300,161,80,2025-02-10
54,1,54,464,50,25,2025-03-09
55,1,55,995,178,89,2025-02-15
56,1,56,519,77,38,2025-06-10
57,1,57,305,179,89,2025-06-05
58,1,58,203,89,44,2025-04-06
59,1,59,780,91,45,2025-05-19
60,1,60,976,185,92,2025-01-01
61,1,61,613,132,66,2025-05-06
62,1,62,19,78,39,2025-04-03
63,1,63,899,128,64,2025-03-03
64,1,64,59,111,55,2025-05-26
65,1,65,969,70,35,2025-01-22
66,1,66,749,174,87,2025-01-18
67,1,67,778,186,93,2025-02-02
68,1,68,131,171,85,2025-05-21
69,1,69,169,117,58,2025-05-16
70,1,70,893,158,79,2025-02-24
71,1,71,951,188,94,2025-06-26
72,1,72,205,129,64,2025-04-13
73,1,73,687,145,72,2025-04-23
74,1,74,921,182,91,2025-04-26
75,1,75,123,113,56,2025-02-27
76,1,76,65,136,68,2025-01-06
77,1,77,602,191,95,2025-02-28
78,1,78,602,106,53,2025-01-02
79,1,79,72,65,32,2025-02-28
80,1,80,69,58,29,2025-03-26
81,1,81,72,181,90,2025-03-02
82,1,82,285,174,87,2025-02-24
83,1,83,552,83,41,2025-05-27
84,1,84,590,171,85,2025-03-04
85,1,85,803,171,85,2025-04-15
86,1,86,194,74,37,2025-01-25
87,1,87,674,160,80,2025-04-01
88,1,88,433,155,77,2025-04-30
89,1,89,884,63,31,2025-06-22
90,1,90,669,75,37,2025-01-16
91,1,91,412,136,68,2025-01-28
92,1,92,254,99,49,2025-02-18
93,1,93,549,164,82,2025-02-05
94,1,94,432,96,48,2025-03-13
95,1,95,473,113,56,2025-01-20
96,1,96,453,190,95,2025-01-26
97,1,97,51,188,94,2025-01-04
98,1,98,992,73,36,2025-03-02
99,1,99,170,154,77,2025-05-05
100,1,100,492,104,52,2025-04-13
101,2,1,924,65,32,2025-02-12
102,2,2,388,50,25,2025-04-10
103,2,3,271,166,83,2025-03-15
104,2,4,433,192,96,2025-06-19
105,2,5,735,174,87,2025-02-09
106,2,6,194,125,62,2025-02-25
