TransactionID,WarehouseID,ProductID,TransactionType,Quantity,TransactionDate
1,1,4,OUT,32,2025-02-27
2,2,95,IN,95,2025-05-20
3,1,76,OUT,4,2025-01-24
4,2,30,OUT,4,2025-05-24
5,2,92,OUT,70,2025-04-18
6,2,58,OUT,1,2025-02-10
7,4,44,OUT,28,2025-03-28
8,1,12,OUT,46,2025-03-30
9,5,34,OUT,94,2025-04-28
10,5,16,ADJUSTMENT,49,2025-01-21
11,5,38,OUT,80,2025-04-03
12,5,25,OUT,6,2025-06-19
13,2,99,OUT,11,2025-03-01
14,1,49,OUT,82,2025-04-04
15,2,48,OUT,86,2025-03-10
16,1,78,OUT,69,2025-03-04
17,2,60,OUT,82,2025-06-26
18,5,29,OUT,99,2025-01-15
19,2,5,OUT,52,2025-03-10
20,1,28,RETURN,73,2025-03-22
21,2,84,OUT,83,2025-04-28
22,2,34,IN,96,2025-05-24
23,5,34,OUT,55,2025-05-30
24,4,47,IN,18,2025-05-11
25,4,12,OUT,15,2025-02-09
26,2,88,OUT,9,2025-04-09
27,4,77,ADJUSTMENT,68,2025-03-06
28,5,2,OUT,15,2025-06-24
29,5,97,OUT,83,2025-03-29
30,1,38,OUT,59,2025-01-01
31,3,65,OUT,65,2025-01-28
32,3,82,OUT,26,2025-02-09
33,3,98,IN,100,2025-05-16
34,1,77,OUT,3,2025-01-29
35,3,40,IN,31,2025-05-26
36,1,11,OUT,9,2025-05-17
37,2,17,OUT,71,2025-02-12
38,3,68,RETURN,55,2025-02-24
39,5,97,OUT,26,2025-03-21
40,4,86,OUT,57,2025-05-13
41,4,16,IN,9,2025-03-28
42,1,76,OUT,76,2025-02-26
43,1,10,OUT,8,2025-02-28
44,1,5,RETURN,10,2025-05-12
45,2,36,OUT,28,2025-05-19
46,2,93,RETURN,74,2025-05-28
47,4,32,OUT,53,2025-02-18
48,1,13,OUT,46,2025-04-19
49,4,60,RETURN,7,2025-06-22
50,1,8,OUT,44,2025-01-28
51,2,25,IN,58,2025-02-05
52,4,24,OUT,32,2025-01-20
53,4,71,IN,84,2025-05-19
54,1,12,RETURN,31,2025-02-12
55,4,63,OUT,52,2025-01-16
56,2,49,IN,50,2025-03-09
57,4,37,OUT,94,2025-05-23
58,4,20,IN,28,2025-01-15
59,5,95,OUT,96,2025-03-22
60,1,7,OUT,65,2025-05-16
61,2,8,ADJUSTMENT,11,2025-02-17
62,1,77,IN,31,2025-04-14
63,1,73,IN,77,2025-01-11
64,5,11,OUT,75,2025-05-25
65,5,41,RETURN,27,2025-06-21
66,3,31,OUT,17,2025-06-21
67,3,59,OUT,97,2025-01-19
68,1,59,OUT,73,2025-01-26
69,1,69,IN,34,2025-02-03
70,3,9,RETURN,48,2025-03-14
71,2,57,OUT,91,2025-03-19
72,5,84,OUT,86,2025-05-22
73,3,85,IN,18,2025-03-09
74,1,14,OUT,20,2025-03-11
75,3,78,IN,44,2025-02-22
76,3,65,OUT,7,2025-01-24
77,4,36,IN,43,2025-02-03
78,3,21,OUT,71,2025-06-30
79,4,72,IN,10,2025-06-26
80,2,70,IN,48,2025-05-30
81,5,19,OUT,6,2025-03-20
82,3,6,RETURN,27,2025-06-24
83,2,86,IN,100,2025-05-24
84,4,80,OUT,31,2025-02-11
85,2,53,IN,95,2025-03-27
86,4,86,RETURN,32,2025-03-10
87,2,90,IN,5,2025-05-01
88,2,26,OUT,59,2025-03-31
89,3,30,IN,85,2025-02-19
90,4,43,OUT,9,2025-03-13
91,3,83,OUT,87,2025-05-18
92,3,4,IN,34,2025-02-15
93,5,34,IN,77,2025-04-22
94,3,94,OUT,56,2025-06-05
95,5,15,OUT,74,2025-02-18
96,3,6,OUT,1,2025-05-14
97,5,88,OUT,95,2025-06-21
98,2,47,OUT,86,2025-03-26
99,5,41,OUT,16,2025-03-18
100,5,40,OUT,42,2025-04-14
101,3,71,IN,54,2025-06-20
102,4,87,OUT,23,2025-06-07
103,5,39,OUT,1,2025-03-19
104,3,27,OUT,75,2025-06-05
105,3,60,OUT,87,2025-02-24
106,5,61,OUT,95,2025-02-13
107,1,37,OUT,82,2025-06-08
108,3,12,OUT,97,2025-03-02
109,3,29,OUT,19,2025-01-07
110,1,32,ADJUSTMENT,79,2025-01-19
111,4,54,RETURN,74,2025-02-19
112,4,64,OUT,19,2025-06-17
113,1,97,RETURN,14,2025-04-19
114,2,23,OUT,90,2025-05-13
115,4,7,OUT,16,2025-04-27
116,2,60,OUT,72,2025-06-02
117,3,97,RETURN,79,2025-05-10
118,4,71,OUT,21,2025-05-02
119,4,34,OUT,82,2025-03-12
120,5,63,OUT,36,2025-04-23
121,1,92,OUT,35,2025-03-27
