PurchaseOrderItemID,PurchaseOrderID,ProductID,Quantity,UnitCost
1,100001,92,90,378.88
2,100002,3,46,950.61
3,100002,1,193,172.86
4,100003,90,28,2.91
5,100004,90,75,2.91
6,100005,65,174,519.68
7,100006,70,70,867.81
8,100007,58,60,157.66
9,100007,55,198,908.54
10,100007,75,128,789.26
11,100007,57,107,484.53
12,100007,4,91,564.42
13,100009,50,46,397.54
14,100009,84,43,867.74
15,100011,31,111,59.29
16,100012,62,157,291.34
17,100012,5,51,850.25
18,100012,50,116,397.54
19,100016,35,180,305.47
20,100017,44,200,133.2
21,100019,11,189,396.45
22,100020,76,40,110.17
23,100021,20,117,69.94
24,100023,45,61,94.49
25,100023,49,114,37.47
26,100024,92,191,378.88
27,100025,46,175,839.98
28,100025,17,182,345.78
29,100026,56,61,68.78
30,100027,94,183,54.12
31,100027,32,196,65.53
32,100029,7,78,148.67
33,100029,48,28,299.24
34,100029,70,100,867.81
35,100030,19,74,1037.42
36,100030,1,187,172.86
37,100030,85,147,297.07
38,100030,3,121,950.61
39,100031,55,163,908.54
40,100031,57,157,484.53
41,100031,4,87,564.42
42,100031,58,169,157.66
43,100033,92,112,378.88
44,100034,52,146,162.1
45,100034,66,43,182.1
46,100036,63,59,4.77
47,100037,34,172,52.86
48,100038,74,117,6.44
49,100039,35,161,305.47
50,100043,34,194,52.86
51,100044,35,48,305.47
52,100045,13,60,16.32
53,100047,1,149,172.86
54,100047,19,47,1037.42
55,100047,3,180,950.61
56,100047,85,96,297.07
57,100048,49,115,37.47
58,100048,20,61,69.94
59,100048,45,158,94.49
60,100051,25,145,28.08
61,100052,63,112,4.77
62,100053,59,81,65.02
63,100053,89,165,96.85
64,100054,25,144,28.08
65,100058,9,52,124.95
66,100059,64,87,142.05
67,100060,26,122,783.71
68,100060,38,191,934.95
69,100060,21,186,170.97
70,100060,69,115,533.71
71,100063,96,50,14.21
72,100064,31,36,59.29
73,100065,22,170,1.94
74,100066,35,21,305.47
75,100069,49,181,37.47
76,100070,55,37,908.54
77,100072,22,38,1.94
78,100073,17,74,345.78
79,100073,39,158,712.6
80,100073,46,53,839.98
81,100074,86,141,17.77
82,100074,82,124,6.07
83,100074,16,68,9.18
84,100075,17,188,345.78
85,100076,57,33,484.53
86,100076,58,192,157.66
87,100076,55,187,908.54
88,100076,75,185,789.26
89,100078,5,123,850.25
90,100080,64,83,142.05
91,100082,3,134,950.61
92,100082,19,55,1037.42
93,100083,59,138,65.02
94,100083,89,83,96.85
95,100084,28,160,818.18
96,100088,21,186,170.97
97,100090,5,80,850.25
98,100093,96,144,14.21
99,100098,67,122,362.92
100,100099,63,117,4.77
101,100100,31,87,59.29
102,100102,53,128,309.07
103,100104,35,68,305.47
104,100105,3,100,950.61
105,100105,1,34,172.86
106,100105,19,32,1037.42
107,100106,100,34,284.53
108,100107,97,37,23.16
109,100108,44,123,133.2
110,100109,22,168,1.94
111,100110,53,127,309.07
112,100112,67,72,362.92
113,100113,37,87,332.67
114,100114,23,38,692.76
115,100114,24,22,633.85
116,100114,77,137,583.89
117,100114,51,179,507.44
118,100120,13,157,16.32
119,100121,74,53,6.44
120,100123,90,82,2.91
121,100124,56,60,68.78
122,100125,34,176,52.86
123,100127,53,189,309.07
124,100129,50,87,397.54
125,100130,31,161,59.29
126,100131,92,92,378.88
127,100132,15,149,563.65
128,100132,18,145,1077.07
129,100132,87,84,275.47
130,100132,78,33,741.5
131,100132,40,43,148.0
132,100133,92,31,378.88
133,100134,27,53,142.09
134,100136,96,133,14.21
135,100140,100,48,284.53
136,100141,56,159,68.78
137,100142,35,169,305.47
138,100143,56,52,68.78
139,100144,76,113,110.17
140,100147,42,73,162.68
141,100148,64,110,142.05
142,100150,35,80,305.47
143,100153,54,125,417.71
144,100157,96,105,14.21
145,100159,25,88,28.08
146,100160,6,117,435.29
147,100161,54,76,417.71
148,100163,93,109,899.74
149,100163,61,98,751.55
150,100164,12,26,518.6
151,100165,100,104,284.53
152,100168,42,91,162.68
153,100170,53,193,309.07
154,100173,57,168,484.53
155,100173,4,87,564.42
156,100173,58,29,157.66
157,100173,55,47,908.54
158,100173,75,172,789.26
159,100174,27,100,142.09
160,100175,56,118,68.78
161,100176,22,31,1.94
162,100177,5,130,850.25
163,100177,62,37,291.34
164,100177,84,190,867.74
165,100177,50,104,397.54
166,100178,47,96,45.79
167,100180,81,123,73.16
168,100180,33,198,91.48
169,100182,25,69,28.08
170,100183,99,165,826.58
171,100183,73,97,663.29
172,100183,14,123,94.42
173,100183,68,160,613.29
174,100184,76,93,110.17
175,100186,73,175,663.29
176,100186,88,187,342.14
177,100187,48,133,299.24
178,100187,70,192,867.81
179,100188,100,63,284.53
180,100191,98,151,2.34
181,100193,92,80,378.88
182,100194,76,70,110.17
183,100195,6,31,435.29
184,100196,51,136,507.44
185,100196,10,126,722.19
186,100197,49,146,37.47
187,100197,20,122,69.94
188,100197,45,82,94.49
189,100198,22,47,1.94
190,100200,95,65,4.25
191,100202,64,162,142.05
192,100205,76,136,110.17
193,100207,89,190,96.85
194,100208,75,60,789.26
195,100208,57,141,484.53
196,100208,55,135,908.54
197,100208,58,86,157.66
198,100208,4,83,564.42
199,100209,71,180,4.28
200,100210,37,132,332.67
201,100211,64,80,142.05
202,100213,90,101,2.91
203,100214,8,197,127.97
204,100214,15,59,563.65
205,100214,78,200,741.5
206,100214,87,74,275.47
207,100214,40,36,148.0
208,100215,61,126,751.55
209,100215,60,35,191.4
210,100215,66,72,182.1
211,100215,93,127,899.74
212,100218,59,142,65.02
213,100218,89,21,96.85
214,100219,56,119,68.78
215,100220,67,144,362.92
216,100221,39,131,712.6
217,100222,10,62,722.19
218,100222,51,139,507.44
219,100222,23,52,692.76
220,100222,24,179,633.85
221,100224,71,171,4.28
222,100226,91,184,1.8
223,100227,31,138,59.29
224,100228,5,117,850.25
225,100228,50,103,397.54
226,100229,82,103,6.07
227,100230,81,127,73.16
228,100230,33,84,91.48
229,100232,54,24,417.71
230,100233,56,77,68.78
231,100234,71,27,4.28
232,100235,32,25,65.53
233,100237,3,141,950.61
234,100237,1,191,172.86
235,100238,44,139,133.2
236,100239,56,62,68.78
237,100240,50,99,397.54
238,100241,64,99,142.05
239,100245,67,70,362.92
240,100246,78,196,741.5
241,100248,34,198,52.86
242,100249,35,164,305.47
243,100251,91,156,1.8
244,100253,92,37,378.88
245,100254,64,127,142.05
246,100256,11,112,396.45
247,100256,29,182,129.9
248,100257,3,177,950.61
249,100257,85,157,297.07
250,100257,1,143,172.86
251,100257,19,139,1037.42
252,100258,62,91,291.34
253,100258,50,135,397.54
254,100258,5,82,850.25
255,100258,84,138,867.74
256,100259,90,27,2.91
257,100260,19,110,1037.42
258,100260,1,86,172.86
259,100260,3,107,950.61
260,100260,85,91,297.07
261,100261,99,41,826.58
262,100261,68,81,613.29
263,100261,2,124,591.86
264,100261,88,145,342.14
265,100261,73,162,663.29
266,100262,31,185,59.29
267,100263,69,76,533.71
268,100263,21,123,170.97
269,100263,38,197,934.95
270,100263,26,82,783.71
271,100264,13,141,16.32
272,100268,78,110,741.5
273,100268,18,199,1077.07
274,100268,40,136,148.0
275,100268,87,89,275.47
276,100268,15,98,563.65
277,100269,42,50,162.68
278,100270,15,75,563.65
279,100270,18,143,1077.07
280,100270,8,90,127.97
281,100270,78,170,741.5
282,100270,40,154,148.0
283,100270,87,172,275.47
284,100271,44,69,133.2
285,100272,17,65,345.78
286,100272,39,97,712.6
287,100273,3,90,950.61
288,100274,6,161,435.29
289,100275,87,46,275.47
290,100275,15,23,563.65
291,100275,40,166,148.0
292,100276,39,132,712.6
293,100276,46,107,839.98
294,100277,44,84,133.2
295,100280,90,36,2.91
296,100281,89,167,96.85
297,100281,59,181,65.02
298,100282,2,83,591.86
299,100282,14,50,94.42
300,100282,88,162,342.14
301,100282,68,126,613.29
302,100282,73,175,663.29
303,100282,99,172,826.58
304,100283,55,170,908.54
305,100283,58,129,157.66
306,100283,75,98,789.26
307,100283,57,165,484.53
308,100283,4,178,564.42
309,100285,67,73,362.92
310,100286,92,189,378.88
311,100288,71,81,4.28
312,100289,34,60,52.86
313,100290,48,135,299.24
314,100293,89,79,96.85
315,100293,59,93,65.02
316,100294,74,195,6.44
317,100294,41,79,2.47
318,100295,99,128,826.58
319,100295,88,49,342.14
320,100295,14,159,94.42
321,100298,27,88,142.09
322,100300,28,35,818.18
323,100301,64,172,142.05
324,100302,98,51,2.34
325,100303,76,199,110.17
326,100304,60,132,191.4
327,100304,66,40,182.1
328,100304,83,173,893.29
329,100304,61,30,751.55
