PurchaseOrderID,SupplierID,WarehouseID,OrderDate,ExpectedDeliveryDate,Status
100001,15,1,2025-03-12,2025-03-24,Shipped
100002,14,5,2025-01-23,2025-02-15,Delivered
100003,4,1,2025-02-25,2025-03-09,Delivered
100004,4,5,2025-02-20,2025-03-17,Delivered
100005,54,2,2025-04-25,2025-05-18,Shipped
100006,1,2,2025-06-28,2025-07-16,Delivered
100007,20,2,2025-03-28,2025-04-05,Pending
100008,13,3,2025-03-30,2025-04-23,Shipped
100009,6,4,2025-05-18,2025-05-26,Cancelled
100010,49,1,2025-05-22,2025-06-05,Delivered
100011,80,3,2025-05-28,2025-06-08,Delivered
100012,6,2,2025-03-16,2025-03-23,Delivered
100013,13,4,2025-03-13,2025-04-01,Delivered
100014,47,2,2025-04-05,2025-04-21,Shipped
100015,35,1,2025-06-05,2025-06-30,Shipped
100016,32,2,2025-04-29,2025-05-16,Shipped
100017,72,2,2025-06-25,2025-07-10,Delivered
100018,8,2,2025-01-09,2025-01-24,Delivered
100019,9,2,2025-05-26,2025-06-10,Shipped
100020,64,4,2025-06-14,2025-07-03,Shipped
100021,18,2,2025-05-24,2025-06-15,Shipped
100022,75,4,2025-05-30,2025-06-16,Delivered
100023,18,5,2025-05-07,2025-05-14,Delivered
100024,15,2,2025-06-10,2025-06-20,Delivered
100025,55,5,2025-01-17,2025-02-03,Delivered
100026,60,5,2025-03-06,2025-03-28,Delivered
100027,2,1,2025-06-24,2025-07-16,Delivered
100028,44,1,2025-03-17,2025-04-04,Shipped
100029,1,3,2025-05-09,2025-05-19,Delivered
100030,14,3,2025-06-13,2025-07-04,Delivered
100031,20,3,2025-02-11,2025-03-05,Cancelled
100032,68,1,2025-06-03,2025-06-18,Delivered
100033,15,3,2025-03-20,2025-04-01,Pending
100034,73,1,2025-01-22,2025-02-11,Delivered
100035,69,2,2025-02-02,2025-02-22,Delivered
100036,22,3,2025-05-16,2025-06-09,Delivered
100037,28,5,2025-06-26,2025-07-07,Delivered
100038,52,3,2025-04-23,2025-05-14,Delivered
100039,32,2,2025-01-17,2025-02-01,Pending
100040,71,2,2025-05-31,2025-06-12,Pending
100041,8,2,2025-01-18,2025-01-24,Delivered
100042,10,5,2025-03-02,2025-03-15,Delivered
100043,28,5,2025-02-03,2025-02-26,Delivered
100044,32,4,2025-04-15,2025-04-26,Pending
