ReturnID,OrderID,CustomerID,ProductID,ReturnedQuantity,Reason,Status,RefundAmount
1,100018,1812,31,9,Different Product Received,Rejected,756
2,100045,1898,95,1,Changed with Another Product,Pending,6
3,100092,1647,53,2,Product Condition Not Good,Pending,890
4,100092,1647,89,4,Color Mismatch,Refunded,496
5,100112,1273,75,1,Changed with Another Product,Rejected,1079
6,100112,1273,19,5,Changed with Another Product,Approved,7135
7,100112,1273,60,6,Changed with Another Product,Approved,1482
8,100112,1273,30,5,Color Mismatch,Rejected,6300
9,100153,513,94,2,Product Condition Not Good,Rejected,176
10,100153,513,45,2,Different Product Received,Refunded,278
11,100166,1911,40,5,Color Mismatch,Approved,1210
12,100166,1911,69,6,Product Condition Not Good,Rejected,4272
13,100166,1911,30,3,Product Condition Not Good,Pending,3780
14,100198,527,83,3,Product Condition Not Good,Refunded,3618
15,100200,750,60,1,Color Mismatch,Approved,247
16,100200,750,62,1,Different Product Received,Pending,371
17,100216,1759,36,7,Color Mismatch,Pending,1540
18,100227,848,52,2,Color Mismatch,Pending,458
19,100247,1937,50,2,Product Condition Not Good,Refunded,1296
20,100247,1937,68,2,Changed with Another Product,Rejected,1906
21,100247,1937,72,4,Product Condition Not Good,Rejected,428
22,100247,1937,18,2,Color Mismatch,Pending,2736
23,100274,1431,38,2,Color Mismatch,Refunded,2386
24,100274,1431,2,5,Changed with Another Product,Rejected,3960
25,100274,1431,77,6,Color Mismatch,Rejected,5364
26,100290,812,59,2,Color Mismatch,Refunded,190
27,100292,687,24,6,Changed with Another Product,Approved,5202
28,100292,687,15,3,Changed with Another Product,Refunded,2193
29,100293,1426,24,3,Different Product Received,Rejected,2601
30,100293,1426,63,6,Color Mismatch,Approved,42
31,100293,1426,82,2,Color Mismatch,Rejected,18
32,100308,75,74,2,Changed with Another Product,Pending,18
33,100308,75,71,1,Different Product Received,Approved,7
34,100328,1454,34,4,Different Product Received,Rejected,352
35,100328,1454,48,5,Changed with Another Product,Rejected,2105
36,100363,1242,68,1,Color Mismatch,Approved,953
37,100366,1671,86,1,Changed with Another Product,Refunded,25
38,100366,1671,76,4,Different Product Received,Rejected,560
39,100404,766,18,4,Color Mismatch,Approved,5472
40,100404,766,93,4,Different Product Received,Approved,4856
41,100406,1442,72,2,Color Mismatch,Pending,214
42,100414,588,79,6,Changed with Another Product,Refunded,924
43,100414,588,56,1,Different Product Received,Rejected,89
44,100418,1710,25,2,Changed with Another Product,Pending,86
45,100418,1710,22,1,Different Product Received,Pending,3
46,100418,1710,97,5,Color Mismatch,Approved,175
47,100436,1239,2,6,Color Mismatch,Rejected,4752
48,100436,1239,41,5,Product Condition Not Good,Refunded,20
49,100451,934,18,9,Changed with Another Product,Approved,12312
50,100451,934,38,3,Product Condition Not Good,Rejected,3579
51,100473,649,98,2,Different Product Received,Refunded,6
